Id|Categoria|Nombre
54|Provincia|Misiones
74|Provincia|San Luis
70|Provincia|San Juan
30|Provincia|Entre Ríos
78|Provincia|Santa Cruz
62|Provincia|Río Negro
26|Provincia|Chubut
14|Provincia|Córdoba
50|Provincia|Mendoza
46|Provincia|La Rioja
10|Provincia|Catamarca
42|Provincia|La Pampa
86|Provincia|Santiago Del Estero
18|Provincia|Corrientes
82|Provincia|Santa Fe
90|Provincia|Tucumán
58|Provincia|Neuquén
66|Provincia|Salta
22|Provincia|Chaco
34|Provincia|Formosa
38|Provincia|Jujuy
02|Ciudad Autónoma|Ciudad Autónoma De Buenos Aires
06|Provincia|Buenos Aires
94|Provincia|Tierra Del Fuego, Antártida E Islas Del Atlántico Sur
